Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,nDI_mean,nDI_var,nDI_stdev,nDI_max,nDI_min,nDI_median,nDI_muc,nDI_notempty,cDI_mean,cDI_var,cDI_stdev,cDI_max,cDI_min,cDI_median,cDI_muc,cDI_notempty
333,1160.000000,447012.000000,235256.000000,1740.000000,385.355172,202.806896,1.500000,1450.000000,20460.744827,54441.668965,10283.558620,0.000000,0.000000,0.118966,1.678716,4.466706,0.843722,0.000000,0.000000,6.264389,7.517567,0.807361,6.264389,2.741818,0.931156,15.000000,12.000000,2.000000,203,385,2,194,371,0,215,400,3,10.771551,  2632.989181,    51.312661,   255.000000,     0.000000,     0.000000, 12495.000000,49,4.394827,    98.209809,     9.910086,    73.000000,     0.000000,     0.000000,  5098.000000,529
334,2184.000000,848116.000000,1100328.000000,3276.000000,388.331501,503.813186,1.500000,2730.000000,186515.780219,76251.992673,50427.252747,0.000000,0.000000,0.096344,6.582316,2.691004,1.779624,0.000000,0.000000,9.369664,15.439405,1.401421,9.369664,3.929300,1.119067,16.000000,20.000000,2.000000,504,388,2,488,372,0,524,399,3,5.604395,  1398.351900,    37.394543,   255.000000,     0.000000,     0.000000, 12240.000000,48,2.443681,    97.179602,     9.857971,   188.000000,     0.000000,     0.000000,  5337.000000,517
335,1260.000000,486404.000000,354084.000000,1890.000000,386.034920,281.019047,1.500000,1575.000000,54959.542857,43178.463492,-32884.838095,0.000000,0.000000,0.115731,4.038459,3.172778,-2.416397,0.000000,0.000000,7.326970,7.808733,0.807133,7.326970,2.794411,0.931068,13.000000,15.000000,2.000000,281,386,2,268,373,0,296,398,3,10.321428,  2527.438301,    50.273634,   255.000000,     0.000000,     0.000000, 13005.000000,51,2.845238,    60.731391,     7.793034,    58.000000,     0.000000,     0.000000,  3585.000000,400
336,1320.000000,510628.000000,469048.000000,1980.000000,386.839393,355.339393,1.500000,1650.000000,41951.951515,35929.951515,8815.951515,0.000000,0.000000,0.113951,2.897256,2.481369,0.608841,0.000000,0.000000,5.492576,7.431375,0.776973,5.492576,2.726054,0.919324,14.000000,13.000000,2.000000,355,387,2,344,373,0,368,397,3,4.250000,  1066.495451,    32.657241,   255.000000,     0.000000,     0.000000,  5610.000000,22,2.228030,    85.269418,     9.234144,   131.000000,     0.000000,     0.000000,  2941.000000,370
337,2612.000000,1029620.000000,277896.000000,3918.000000,394.188361,106.392036,1.500000,3265.000000,99166.554364,215319.326186,-4108.882082,-0.000000,0.000000,0.090765,2.756772,5.985752,-0.114224,-0.000000,0.000000,8.833290,17.281830,1.496563,8.833290,4.157142,1.143839,19.000000,15.000000,2.000000,106,394,2,95,375,0,121,411,3,14.058192,  3388.503697,    58.210855,   255.000000,     0.000000,     0.000000, 36720.000000,144,3.846477,    85.154131,     9.227899,    81.000000,     0.000000,     0.000000, 10047.000000,963
338,3084.000000,1201604.000000,992072.000000,4626.000000,389.625162,321.683527,1.500000,3855.000000,300611.123216,193058.687418,-34585.841763,0.000000,0.000000,0.085876,6.696572,4.300677,-0.770452,0.000000,0.000000,11.083125,29.150598,2.422235,11.083125,5.399129,1.342988,23.000000,23.000000,2.000000,322,390,2,306,375,0,345,413,3,2.728599,   688.570819,    26.240632,   255.000000,     0.000000,     0.000000,  8415.000000,33,2.302853,    77.701957,     8.814871,   158.000000,     0.000000,     0.000000,  7102.000000,705
339,2408.000000,938436.000000,1594404.000000,3612.000000,389.715946,662.127906,1.500000,3010.000000,137020.604651,109953.707641,23655.488372,0.000000,0.000000,0.093259,4.245321,3.406705,0.732920,0.000000,0.000000,7.745285,14.639008,1.298668,7.745285,3.826095,1.091020,17.000000,16.000000,2.000000,662,390,2,646,376,0,677,407,3,6.883305,  1708.572583,    41.334883,   255.000000,     0.000000,     0.000000, 16575.000000,65,4.149916,   130.171533,    11.409273,   122.000000,     0.000000,     0.000000,  9993.000000,846
340,2768.000000,1087060.000000,1912148.000000,4152.000000,392.723988,690.804913,1.500000,3460.000000,200394.653179,235065.127167,-135033.046242,-0.000000,0.000000,0.089026,5.156218,6.048301,-3.474443,-0.000000,0.000000,11.293547,20.112110,1.701714,11.293547,4.484652,1.193884,23.000000,19.000000,2.000000,691,393,2,676,376,0,710,416,3,12.252528,  2975.345313,    54.546725,   255.000000,     0.000000,     0.000000, 33915.000000,133,3.689306,    90.313987,     9.503367,    97.000000,     0.000000,     0.000000, 10212.000000,934
341,716.000000,275904.000000,44212.000000,1074.000000,385.340782,61.748603,1.500000,895.000000,9886.748603,13072.849162,4081.340782,0.000000,0.000000,0.139724,1.543486,2.040889,0.637165,0.000000,0.000000,3.724100,3.244930,0.383418,3.724100,1.801369,0.726481,9.000000,8.000000,2.000000,62,385,2,54,377,0,69,394,3,3.917597,   985.015577,    31.384957,   255.000000,     0.000000,     0.000000,  2805.000000,11,2.435754,    46.318943,     6.805802,    48.000000,     0.000000,     0.000000,  1744.000000,214
342,1880.000000,750176.000000,563572.000000,2820.000000,399.029787,299.772340,1.500000,2350.000000,53906.561702,179830.331914,41840.748936,0.000000,0.000000,0.101280,2.323260,7.750311,1.803248,0.000000,0.000000,10.174851,15.774534,1.494315,10.174851,3.971716,1.143266,22.000000,15.000000,2.000000,300,399,2,291,377,0,315,414,3,2.034574,   514.950906,    22.692529,   255.000000,     0.000000,     0.000000,  3825.000000,15,2.431914,    51.481258,     7.175044,    84.000000,     0.000000,     0.000000,  4572.000000,494
343,2016.000000,786420.000000,958760.000000,3024.000000,390.089285,475.575396,1.500000,2520.000000,79692.539682,95555.928571,18752.428571,0.000000,0.000000,0.098949,3.129178,3.752064,0.736326,0.000000,0.000000,6.980191,11.879596,1.108104,6.980191,3.446679,1.034809,17.000000,14.000000,2.000000,476,390,2,462,377,0,490,407,3,1.644345,   416.810915,    20.415947,   255.000000,     0.000000,     0.000000,  3315.000000,13,1.408234,    21.089341,     4.592313,    53.000000,     0.000000,     0.000000,  2839.000000,544
344,1164.000000,451804.000000,20992.000000,1746.000000,388.147766,18.034364,1.500000,1455.000000,39038.625429,23786.584192,-11965.910652,0.000000,-0.000000,0.118829,3.188285,1.942650,-0.977256,0.000000,-0.000000,5.249766,5.848404,0.622513,5.249766,2.418347,0.853852,11.000000,12.000000,2.000000,18,388,2,6,379,0,30,399,3,5.695876,  1421.226431,    37.699156,   255.000000,     0.000000,     0.000000,  6630.000000,26,2.214776,    39.011440,     6.245913,    59.000000,     0.000000,     0.000000,  2578.000000,309
345,1044.000000,407744.000000,195248.000000,1566.000000,390.559386,187.019157,1.500000,1305.000000,18451.616858,28673.318007,1440.812260,0.000000,0.000000,0.123218,1.742209,2.707347,0.136042,0.000000,0.000000,4.572775,5.246527,0.578913,4.572775,2.290529,0.833433,12.000000,9.000000,2.000000,187,391,2,179,379,0,196,399,3,10.502873,  2570.384459,    50.698959,   255.000000,     0.000000,     0.000000, 10965.000000,43,4.427203,   126.233429,    11.235365,   108.000000,     0.000000,     0.000000,  4622.000000,425
346,2208.000000,864560.000000,1657460.000000,3312.000000,391.557971,750.661231,1.500000,2760.000000,103662.601449,94384.579710,-8970.637681,0.000000,0.000000,0.095993,3.605426,3.282733,-0.312002,0.000000,0.000000,6.984154,12.399530,1.126806,6.984154,3.521296,1.040598,15.000000,14.000000,2.000000,751,392,2,737,379,0,764,407,3,10.509510,  2570.639692,    50.701476,   255.000000,     0.000000,     0.000000, 23205.000000,91,4.649456,   137.388617,    11.721289,   111.000000,     0.000000,     0.000000, 10266.000000,947
347,1344.000000,527900.000000,1132772.000000,2016.000000,392.782738,842.836309,1.500000,1680.000000,32623.988095,62636.559523,25432.202380,0.000000,0.000000,0.113268,2.199571,4.223075,1.714687,0.000000,0.000000,6.535915,7.076288,0.719121,6.535915,2.660129,0.895916,15.000000,11.000000,2.000000,843,393,2,833,379,0,854,408,3,0.379464,    96.691342,     9.833175,   255.000000,     0.000000,     0.000000,   510.000000,2,2.119791,    53.880650,     7.340344,    79.000000,     0.000000,     0.000000,  2849.000000,312
348,980.000000,379264.000000,618640.000000,1470.000000,387.004081,631.265306,1.500000,1225.000000,28383.020408,15939.983673,-2849.061224,0.000000,0.000000,0.125844,2.915796,1.637519,-0.292684,0.000000,0.000000,4.679160,5.262018,0.590086,4.679160,2.293909,0.838761,11.000000,12.000000,2.000000,631,387,2,620,380,0,643,398,3,2.862244,   722.417163,    26.877819,   255.000000,     0.000000,     0.000000,  2805.000000,11,3.498979,    95.569968,     9.775989,    75.000000,     0.000000,     0.000000,  3429.000000,279
349,2648.000000,1061536.000000,2063104.000000,3972.000000,400.882175,779.117824,1.500000,3310.000000,124411.238670,232059.238670,81700.761329,0.000000,0.000000,0.090351,3.396010,6.334439,2.230157,0.000000,0.000000,9.820801,17.417385,1.494259,9.820801,4.173414,1.143252,19.000000,17.000000,2.000000,779,401,2,763,382,0,796,420,3,7.511329,  1859.671197,    43.123905,   255.000000,     0.000000,     0.000000, 19890.000000,78,4.213746,   133.367971,    11.548505,   169.000000,     0.000000,     0.000000, 11158.000000,1111
350,3432.000000,1380080.000000,2081168.000000,5148.000000,402.121212,606.400932,1.500000,4290.000000,207208.317016,325229.575757,-92286.787878,-0.000000,0.000000,0.082869,4.002618,6.282420,-1.782692,-0.000000,0.000000,10.367907,22.820450,1.820486,10.367907,4.777075,1.221037,22.000000,16.000000,2.000000,606,402,2,590,383,0,622,424,3,8.321678,  2053.375944,    45.314191,   255.000000,     0.000000,     0.000000, 28560.000000,112,2.924533,    75.729365,     8.702262,    82.000000,     0.000000,     0.000000, 10037.000000,848
351,2596.000000,1045860.000000,419748.000000,3894.000000,402.873651,161.690292,1.500000,3245.000000,125442.995377,232614.557781,-72817.583975,0.000000,0.000000,0.090951,3.515929,6.519745,-2.040938,0.000000,0.000000,10.126626,19.670290,1.706020,10.126626,4.435120,1.194890,18.000000,18.000000,2.000000,162,403,2,144,385,0,175,419,3,9.331664,  2293.377817,    47.889224,   255.000000,     0.000000,     0.000000, 24225.000000,95,4.213790,   123.789728,    11.126083,   130.000000,     0.000000,     0.000000, 10939.000000,941
352,900.000000,354144.000000,364280.000000,1350.000000,393.493333,404.755555,1.500000,1125.000000,14646.222222,19336.959999,2144.533333,0.000000,0.000000,0.129468,1.685526,2.225349,0.246798,0.000000,0.000000,4.040343,4.196309,0.477733,4.040343,2.048489,0.781739,9.000000,7.000000,2.000000,405,393,2,398,385,0,412,402,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0.594444,     3.418211,     1.848840,    17.000000,     0.000000,     0.000000,   535.000000,189
353,1252.000000,492936.000000,54616.000000,1878.000000,393.718849,43.623003,1.500000,1565.000000,42606.057507,25581.035143,-312.702875,0.000000,0.000000,0.115977,3.157419,1.895741,-0.023173,0.000000,0.000000,5.169138,6.571166,0.694140,5.169138,2.563428,0.885419,10.000000,13.000000,2.000000,44,394,2,33,386,0,57,404,3,1.833067,   464.442934,    21.550938,   255.000000,     0.000000,     0.000000,  2295.000000,9,6.572683,   228.660580,    15.121527,   118.000000,     0.000000,     0.000000,  8229.000000,481
354,2240.000000,892976.000000,306836.000000,3360.000000,398.649999,136.980357,1.500000,2800.000000,152699.135714,86541.599999,-20207.400000,0.000000,-0.000000,0.095534,5.210017,2.952756,-0.689466,0.000000,-0.000000,8.258308,15.688375,1.424282,8.258308,3.960855,1.125119,13.000000,17.000000,2.000000,137,399,2,122,387,0,154,412,3,9.334821,  2294.264798,    47.898484,   255.000000,     0.000000,     0.000000, 20910.000000,82,4.085714,   116.704574,    10.802989,    87.000000,     0.000000,     0.000000,  9152.000000,703
355,1912.000000,764124.000000,473624.000000,2868.000000,399.646443,247.711297,1.500000,2390.000000,140624.635983,62356.995815,30836.836820,0.000000,0.000000,0.100711,5.925762,2.627652,1.299429,0.000000,0.000000,8.654127,14.743760,1.398115,8.654127,3.839760,1.118186,13.000000,19.000000,2.000000,248,400,2,233,387,0,267,412,3,11.202928,  2732.670467,    52.274950,   255.000000,     0.000000,     0.000000, 21420.000000,84,3.564330,    91.230814,     9.551482,    77.000000,     0.000000,     0.000000,  6815.000000,587
356,2656.000000,1076292.000000,1214836.000000,3984.000000,405.230421,457.393072,1.500000,3320.000000,151865.632530,189510.981927,70651.439759,-0.000000,0.000000,0.090261,4.128783,5.152250,1.920806,-0.000000,0.000000,9.371294,18.420743,1.587063,9.371294,4.291939,1.166446,19.000000,18.000000,2.000000,457,405,2,439,387,0,473,424,3,2.592243,   654.548926,    25.584153,   255.000000,     0.000000,     0.000000,  6885.000000,27,1.673192,    66.948524,     8.182207,   163.000000,     0.000000,     0.000000,  4444.000000,659
357,3768.000000,1539416.000000,2664548.000000,5652.000000,408.549893,707.151804,1.500000,4710.000000,358133.167728,416668.619957,-245526.539278,-0.000000,0.000000,0.080329,6.107967,7.106290,-4.187459,-0.000000,0.000000,13.294586,26.931661,2.078128,13.294586,5.189572,1.276117,22.000000,23.000000,2.000000,707,409,2,687,387,0,730,431,3,7.511942,  1859.609626,    43.123191,   255.000000,     0.000000,     0.000000, 28305.000000,111,5.614118,   232.805662,    15.257970,   175.000000,     0.000000,     0.000000, 21154.000000,1548
358,1984.000000,793444.000000,1595884.000000,2976.000000,399.921370,804.377016,1.500000,2480.000000,79361.991935,93015.733870,14182.814516,0.000000,0.000000,0.099478,3.183393,3.731076,0.568905,0.000000,0.000000,7.013948,12.241673,1.149358,7.013948,3.498810,1.047494,15.000000,15.000000,2.000000,804,400,2,789,388,0,817,415,3,7.069052,  1753.520695,    41.875060,   255.000000,     0.000000,     0.000000, 14025.000000,55,7.527721,   343.075378,    18.522294,   177.000000,     0.000000,     0.000000, 14935.000000,897
359,1096.000000,435444.000000,92748.000000,1644.000000,397.302919,84.624087,1.500000,1370.000000,28129.124087,28695.430656,11392.802919,0.000000,-0.000000,0.121238,2.489289,2.539405,1.008207,0.000000,-0.000000,5.149933,5.914504,0.643149,5.149933,2.431975,0.863184,13.000000,12.000000,2.000000,85,397,2,73,389,0,94,410,3,9.073905,  2233.547957,    47.260426,   255.000000,     0.000000,     0.000000,  9945.000000,39,4.158759,   104.235959,    10.209601,    71.000000,     0.000000,     0.000000,  4558.000000,379
360,1620.000000,645432.000000,938720.000000,2430.000000,398.414814,579.456790,1.500000,2025.000000,89793.975308,40313.244444,12829.037037,0.000000,0.000000,0.106431,4.719476,2.118821,0.674280,0.000000,0.000000,6.944730,10.272887,1.015900,6.944730,3.205134,1.005272,12.000000,14.000000,2.000000,579,398,2,565,390,0,593,410,3,8.814814,  2171.417198,    46.598467,   255.000000,     0.000000,     0.000000, 14280.000000,56,2.208641,    42.406101,     6.511996,    56.000000,     0.000000,     0.000000,  3578.000000,418
361,2360.000000,964440.000000,1956344.000000,3540.000000,408.661016,828.959322,1.500000,2950.000000,93628.094915,158344.813559,22451.457627,-0.000000,0.000000,0.093887,2.979821,5.039504,0.714543,-0.000000,0.000000,8.113212,15.259160,1.361949,8.113212,3.906297,1.108460,19.000000,15.000000,2.000000,829,409,2,816,390,0,844,425,3,7.563559,  1872.293542,    43.270007,   255.000000,     0.000000,     0.000000, 17850.000000,70,3.328813,   100.384417,    10.019202,   133.000000,     0.000000,     0.000000,  7856.000000,626
362,1524.000000,609628.000000,653556.000000,2286.000000,400.018372,428.842519,1.500000,1905.000000,75834.204724,32459.485564,-10515.590551,0.000000,0.000000,0.108621,4.323994,1.850809,-0.599589,0.000000,0.000000,6.283425,8.314098,0.830234,6.283425,2.883417,0.939868,10.000000,15.000000,2.000000,429,400,2,416,391,0,444,410,3,1.505905,   381.988802,    19.544533,   255.000000,     0.000000,     0.000000,  2295.000000,9,1.705380,    52.173812,     7.223144,    92.000000,     0.000000,     0.000000,  2599.000000,377
363,1980.000000,803920.000000,1264068.000000,2970.000000,406.020202,638.418181,1.500000,2475.000000,96009.745454,71087.191919,-18824.727272,0.000000,0.000000,0.099545,3.861550,2.859155,-0.757138,0.000000,0.000000,6.820251,11.136531,1.041994,6.820251,3.337144,1.013806,14.000000,15.000000,2.000000,638,406,2,623,392,0,652,418,3,6.439393,  1601.388442,    40.017351,   255.000000,     0.000000,     0.000000, 12750.000000,50,3.865656,   278.827824,    16.698138,   210.000000,     0.000000,     0.000000,  7654.000000,696
364,3684.000000,1509924.000000,95004.000000,5526.000000,409.859934,25.788273,1.500000,4605.000000,874038.853420,158019.726384,83034.749185,0.000000,-0.000000,0.080935,15.361651,2.777272,1.459375,0.000000,-0.000000,18.219859,42.001789,3.280599,18.219859,6.480878,1.485882,17.000000,30.000000,2.000000,26,410,2,0,393,0,56,424,3,6.714169,  1667.485750,    40.834859,   255.000000,     0.000000,     0.000000, 24735.000000,97,2.897394,    53.659303,     7.325251,    62.000000,     0.000000,     0.000000, 10674.000000,1280
365,1740.000000,703392.000000,388496.000000,2610.000000,404.248275,223.273563,1.500000,2175.000000,119793.783908,66468.744827,57089.820689,0.000000,0.000000,0.103926,5.724030,3.176034,2.727886,0.000000,0.000000,9.003991,11.663303,1.116000,9.003991,3.415157,1.037261,15.000000,19.000000,2.000000,223,404,2,205,393,0,242,419,3,16.120689,  3853.113660,    62.073453,   255.000000,     0.000000,     0.000000, 28050.000000,110,5.790229,   179.118133,    13.383502,   102.000000,     0.000000,     0.000000, 10075.000000,722
366,2608.000000,1060520.000000,1430488.000000,3912.000000,406.641104,548.500000,1.500000,3260.000000,138772.000000,165648.073619,40731.999999,0.000000,0.000000,0.090811,3.865672,4.614340,1.134642,0.000000,0.000000,8.570824,17.320197,1.502940,8.570824,4.161754,1.145461,18.000000,20.000000,2.000000,549,407,2,529,393,0,563,425,3,8.702070,  2144.124092,    46.304687,   255.000000,     0.000000,     0.000000, 22695.000000,89,3.190950,    91.685809,     9.575270,   102.000000,     0.000000,     0.000000,  8322.000000,839
367,532.000000,214288.000000,390388.000000,798.000000,402.796992,733.812030,1.500000,665.000000,9529.203007,7078.075187,3539.699248,0.000000,0.000000,0.154266,2.210587,1.641974,0.821140,0.000000,0.000000,4.006828,3.549778,0.455929,4.006828,1.884085,0.769660,9.000000,10.000000,2.000000,734,403,2,726,394,0,744,409,3,6.710526,  1669.290811,    40.856955,   255.000000,     0.000000,     0.000000,  3570.000000,14,4.524436,   137.654768,    11.732636,   102.000000,     0.000000,     1.000000,  2407.000000,278
368,2444.000000,1008672.000000,162992.000000,3666.000000,412.713584,66.690671,1.500000,3055.000000,110058.147299,150963.509001,-30744.530278,0.000000,0.000000,0.092798,3.343135,4.585679,-0.933898,0.000000,0.000000,8.021613,15.194166,1.341722,8.021613,3.897969,1.102945,17.000000,16.000000,2.000000,67,413,2,53,396,0,83,430,3,8.764320,  2158.971857,    46.464737,   255.000000,     0.000000,     0.000000, 21420.000000,84,3.541325,    85.920108,     9.269310,    91.000000,     0.000000,     0.000000,  8655.000000,847
369,528.000000,212696.000000,147496.000000,792.000000,402.833333,279.348484,1.500000,660.000000,9823.878787,3569.333333,-1521.333333,0.000000,0.000000,0.154655,2.301995,0.836389,-0.356488,0.000000,0.000000,3.293040,2.283648,0.278113,3.293040,1.511174,0.652741,6.000000,8.000000,2.000000,279,403,2,271,397,0,287,407,3,13.522727,  3271.627565,    57.198143,   255.000000,     0.000000,     0.000000,  7140.000000,28,5.481060,   146.344991,    12.097313,    78.000000,     0.000000,     0.000000,  2894.000000,209
370,5760.000000,2387296.000000,2056536.000000,8640.000000,414.461111,357.037499,1.500000,7200.000000,1283815.899999,494671.288888,400116.399999,0.000000,-0.000000,0.069732,12.433863,4.790932,3.875160,0.000000,-0.000000,17.294528,45.754063,3.106791,17.294528,6.764174,1.459163,21.000000,33.000000,2.000000,357,414,2,324,397,0,385,435,3,3.276041,   824.801370,    28.719355,   255.000000,     0.000000,     0.000000, 18870.000000,74,1.320659,    19.771269,     4.446489,    53.000000,     0.000000,     0.000000,  7607.000000,1366
371,2892.000000,1204944.000000,1510776.000000,4338.000000,416.647302,522.398340,1.500000,3615.000000,148309.112033,201540.248962,-2617.692946,0.000000,0.000000,0.087735,3.599455,4.891372,-0.063531,0.000000,0.000000,8.578563,18.347190,1.544348,8.578563,4.283362,1.155886,18.000000,16.000000,2.000000,522,417,2,508,399,0,538,433,3,3.967842,   996.400556,    31.565813,   255.000000,     0.000000,     0.000000, 11475.000000,45,1.491355,    35.421924,     5.951632,    87.000000,     0.000000,     0.000000,  4313.000000,617
372,4804.000000,2013352.000000,943596.000000,7206.000000,419.099084,196.418817,1.500000,6005.000000,627833.338884,417020.835969,171076.642797,0.000000,0.000000,0.074081,7.745338,5.144625,2.110506,0.000000,0.000000,12.964044,36.347530,2.621934,12.964044,6.028891,1.378924,23.000000,25.000000,2.000000,196,419,2,171,401,0,221,442,3,10.456910,  2557.697705,    50.573685,   255.000000,     0.000000,     0.000000, 50235.000000,197,6.320982,   304.190931,    17.441070,   200.000000,     0.000000,     0.000000, 30366.000000,2285
373,1252.000000,514440.000000,609028.000000,1878.000000,410.894568,486.444089,1.500000,1565.000000,46773.086261,39030.083067,-27685.380191,0.000000,0.000000,0.115977,3.466226,2.892413,-2.051688,0.000000,0.000000,6.474617,6.553796,0.674566,6.474617,2.560038,0.877017,12.000000,14.000000,2.000000,486,411,2,475,401,0,500,423,3,2.851437,   719.560645,    26.824627,   255.000000,     0.000000,     0.000000,  3570.000000,14,1.299520,    25.957377,     5.094838,    55.000000,     0.000000,     0.000000,  1627.000000,298
374,1668.000000,697424.000000,1431880.000000,2502.000000,418.119904,858.441247,1.500000,2085.000000,54763.242206,75656.019184,27851.750599,0.000000,0.000000,0.105400,2.768393,3.824565,1.407962,0.000000,0.000000,6.698359,9.300446,0.907032,6.698359,3.049663,0.967997,16.000000,14.000000,2.000000,858,418,2,847,402,0,872,430,3,1.528776,   387.733424,    19.690947,   255.000000,     0.000000,     0.000000,  2550.000000,10,1.702038,    26.370073,     5.135180,    56.000000,     0.000000,     0.000000,  2839.000000,493
375,1428.000000,600888.000000,710284.000000,2142.000000,420.789915,497.397759,1.500000,1785.000000,56598.072829,85124.974789,-46460.672268,0.000000,0.000000,0.111002,3.519632,5.293619,-2.889223,0.000000,0.000000,8.924255,11.262277,1.141550,8.924255,3.355931,1.045117,18.000000,15.000000,2.000000,497,421,2,482,403,0,509,434,3,5.535714,  1381.930748,    37.174329,   255.000000,     0.000000,     0.000000,  7905.000000,31,2.922969,    72.181868,     8.495991,    68.000000,     0.000000,     0.000000,  4174.000000,429
376,4220.000000,1803528.000000,2423756.000000,6330.000000,427.376303,574.349763,1.500000,5275.000000,399711.749762,349950.430331,-21095.423696,0.000000,0.000000,0.077352,5.861340,5.131644,-0.309341,0.000000,0.000000,11.070337,30.832959,2.319221,11.070337,5.552743,1.323673,22.000000,23.000000,2.000000,574,427,2,556,405,0,597,445,3,8.036729,  1985.247524,    44.556116,   255.000000,     0.000000,     0.000000, 33915.000000,133,2.799052,    66.863616,     8.177017,   109.000000,     0.000000,     0.000000, 11812.000000,1156
377,2640.000000,1116384.000000,1758188.000000,3960.000000,422.872727,665.980303,1.500000,3300.000000,120738.975757,214581.236363,47381.381818,-0.000000,0.000000,0.090443,3.309092,5.881027,1.298581,-0.000000,0.000000,9.280562,18.605732,1.607585,9.280562,4.313436,1.171452,21.000000,17.000000,2.000000,666,423,2,652,405,0,683,444,3,8.113636,  2003.905232,    44.765000,   255.000000,     0.000000,     0.000000, 21420.000000,84,3.862121,    88.982876,     9.433073,    88.000000,     0.000000,     0.000000, 10196.000000,1018
378,1668.000000,694228.000000,1267044.000000,2502.000000,416.203836,759.618705,1.500000,2085.000000,70137.496402,47334.695443,-4174.359712,0.000000,0.000000,0.105400,3.545592,2.392864,-0.211022,0.000000,0.000000,6.043858,9.065513,0.889541,6.043858,3.010899,0.961734,12.000000,17.000000,2.000000,760,416,2,747,405,0,777,428,3,12.688848,  3076.494008,    55.466151,   255.000000,     0.000000,     0.000000, 21165.000000,83,3.112110,    85.979625,     9.272519,    98.000000,     0.000000,     0.000000,  5191.000000,591
379,1924.000000,812304.000000,214892.000000,2886.000000,422.195426,111.690228,1.500000,2405.000000,74987.376299,89534.519750,-4023.525987,0.000000,0.000000,0.100502,3.133632,3.741540,-0.168138,0.000000,0.000000,6.975674,12.387310,1.175506,6.975674,3.519561,1.055378,16.000000,14.000000,2.000000,112,422,2,98,408,0,122,438,3,9.277546,  2280.887046,    47.758633,   255.000000,     0.000000,     0.000000, 17850.000000,70,3.535343,    79.160996,     8.897246,    88.000000,     0.000000,     0.000000,  6802.000000,717
380,1768.000000,747644.000000,445692.000000,2652.000000,422.875565,252.088235,1.500000,2210.000000,72598.235294,68736.624434,-29556.588235,0.000000,0.000000,0.103375,3.395859,3.215228,-1.382540,0.000000,0.000000,6.714463,9.690467,0.931104,6.714463,3.112951,0.976486,14.000000,16.000000,2.000000,252,423,2,236,409,0,264,436,3,8.076923,  1995.507378,    44.671102,   255.000000,     0.000000,     0.000000, 14280.000000,56,3.555429,   144.639823,    12.026629,   167.000000,     0.000000,     0.000000,  6286.000000,536
381,5856.000000,2530068.000000,1660016.000000,8784.000000,432.047131,283.472677,1.500000,7320.000000,709083.628415,767294.991803,-31526.459016,-0.000000,0.000000,0.069349,6.717835,7.269328,-0.298680,-0.000000,0.000000,14.056513,49.714942,3.380434,14.056513,7.050882,1.500804,24.000000,22.000000,2.000000,283,432,2,264,410,0,305,456,3,5.443135,  1358.603768,    36.859242,   255.000000,     0.000000,     0.000000, 31875.000000,125,2.556181,    68.310421,     8.265011,   116.000000,     0.000000,     0.000000, 14969.000000,1846
382,3448.000000,1462484.000000,1402604.000000,5172.000000,424.154292,406.787703,1.500000,4310.000000,341744.598607,188697.916473,-63611.058004,0.000000,0.000000,0.082741,6.560626,3.622519,-1.221170,0.000000,0.000000,10.265887,23.117306,1.843035,10.265887,4.808045,1.226058,16.000000,21.000000,2.000000,407,424,2,388,410,0,428,440,3,4.067575,  1020.982667,    31.952819,   255.000000,     0.000000,     0.000000, 14025.000000,55,1.265081,    30.610303,     5.532657,    93.000000,     0.000000,     0.000000,  4362.000000,671
383,2756.000000,1170804.000000,2010548.000000,4134.000000,424.820029,729.516690,1.500000,3445.000000,156432.232220,168174.734397,-21283.721335,0.000000,0.000000,0.089155,4.048436,4.352329,-0.550818,0.000000,0.000000,8.489921,18.065706,1.543889,8.489921,4.250377,1.155771,19.000000,17.000000,2.000000,730,425,2,713,410,0,746,444,3,7.494557,  1855.617030,    43.076873,   255.000000,     0.000000,     0.000000, 20655.000000,81,5.543904,   180.598797,    13.438705,    98.000000,     0.000000,     0.000000, 15279.000000,1265
384,2748.000000,1172908.000000,1216236.000000,4122.000000,426.822416,442.589519,1.500000,3435.000000,220376.978165,113865.339155,775.685589,0.000000,0.000000,0.089242,5.725462,2.958257,0.020152,0.000000,0.000000,8.772962,17.711939,1.511496,8.772962,4.208555,1.147631,14.000000,20.000000,2.000000,443,427,2,427,413,0,463,439,3,2.505458,   632.844891,    25.156408,   255.000000,     0.000000,     0.000000,  6885.000000,27,1.389737,    48.864794,     6.990335,   129.000000,     0.000000,     0.000000,  3819.000000,590
